year,anthrome,label,count
1740,62,Wild drylands,285752
1740,63,Ice (uninhabited),130397
1740,70,No land,0
1750,11,Urban,12
1750,12,Mixed settlements,5082
1750,21,Rice villages,178
1750,22,Irrigated villages,95
1750,23,Rainfed villages,11892
1750,24,Pastoral villages,107
1750,31,Residential irrigated croplands,819
1750,32,Residential rainfed croplands,60849
1750,33,Populated croplands,3541
1750,34,Remote croplands,11760
1750,41,Residential rangelands,16412
1750,42,Populated rangelands,74343
1750,43,Remote rangelands,112219
1750,51,Residential woodlands,75819
1750,52,Populated woodlands,182873
1750,53,Remote woodlands,402512
1750,54,Inhabited drylands,619118
1750,61,Wild woodlands,232793
1750,62,Wild drylands,284630
1750,63,Ice (uninhabited),130348
1750,70,No land,0
1760,11,Urban,16
1760,12,Mixed settlements,4458
1760,21,Rice villages,245
1760,22,Irrigated villages,94
1760,23,Rainfed villages,14226
1760,24,Pastoral villages,127
1760,31,Residential irrigated croplands,890
1760,32,Residential rainfed croplands,64433
1760,33,Populated croplands,3579
1760,34,Remote croplands,12824
1760,41,Residential rangelands,17070
1760,42,Populated rangelands,80727
1760,43,Remote rangelands,116612
1760,51,Residential woodlands,75132
1760,52,Populated woodlands,182334
1760,53,Remote woodlands,398766
1760,54,Inhabited drylands,606580
1760,61,Wild woodlands,232662
1760,62,Wild drylands,284320
1760,63,Ice (uninhabited),130307
1760,70,No land,0
1770,11,Urban,21
1770,12,Mixed settlements,4042
1770,21,Rice villages,409
1770,22,Irrigated villages,90
1770,23,Rainfed villages,16992
1770,24,Pastoral villages,133
1770,31,Residential irrigated croplands,873
1770,32,Residential rainfed croplands,66935
1770,33,Populated croplands,3808
1770,34,Remote croplands,13427
1770,41,Residential rangelands,18626
1770,42,Populated rangelands,87017
1770,43,Remote rangelands,118843
1770,51,Residential woodlands,74462
1770,52,Populated woodlands,181658
1770,53,Remote woodlands,395176
1770,54,Inhabited drylands,596294
1770,61,Wild woodlands,232623
1770,62,Wild drylands,283876
1770,63,Ice (uninhabited),130097
1770,70,No land,0
1780,11,Urban,29
1780,12,Mixed settlements,4589
1780,21,Rice villages,687
1780,22,Irrigated villages,91
1780,23,Rainfed villages,21607
1780,24,Pastoral villages,179
1780,31,Residential irrigated croplands,763
1780,32,Residential rainfed croplands,67291
1780,33,Populated croplands,4086
1780,34,Remote croplands,13827
1780,41,Residential rangelands,21841
1780,42,Populated rangelands,93651
1780,43,Remote rangelands,118879
1780,51,Residential woodlands,73492
1780,52,Populated woodlands,180463
1780,53,Remote woodlands,391461
1780,54,Inhabited drylands,586372
1780,61,Wild woodlands,232613
1780,62,Wild drylands,283469
1780,63,Ice (uninhabited),130012
1780,70,No land,0
1790,11,Urban,31
1790,12,Mixed settlements,4899
1790,21,Rice villages,816
1790,22,Irrigated villages,96
1790,23,Rainfed villages,23552
1790,24,Pastoral villages,233
1790,31,Residential irrigated croplands,779
1790,32,Residential rainfed croplands,69560
1790,33,Populated croplands,4514
1790,34,Remote croplands,14288
1790,41,Residential rangelands,22955
1790,42,Populated rangelands,96752
1790,43,Remote rangelands,120420
1790,51,Residential woodlands,73169
1790,52,Populated woodlands,179864
1790,53,Remote woodlands,388159
1790,54,Inhabited drylands,579511
1790,61,Wild woodlands,232585
1790,62,Wild drylands,283211
1790,63,Ice (uninhabited),130008
1790,70,No land,0
1800,11,Urban,37
1800,12,Mixed settlements,4592
1800,21,Rice villages,850
1800,22,Irrigated villages,98
1800,23,Rainfed villages,24201
1800,24,Pastoral villages,231
1800,31,Residential irrigated croplands,876
1800,32,Residential rainfed croplands,73104
1800,33,Populated croplands,5147
1800,34,Remote croplands,14890
1800,41,Residential rangelands,22714
1800,42,Populated rangelands,99172
1800,43,Remote rangelands,128340
1800,51,Residential woodlands,73596
1800,52,Populated woodlands,181872
1800,53,Remote woodlands,382446
1800,54,Inhabited drylands,568340
1800,61,Wild woodlands,232617
1800,62,Wild drylands,282271
1800,63,Ice (uninhabited),130008
1800,70,No land,0
1810,11,Urban,59
1810,12,Mixed settlements,5607
1810,21,Rice villages,1270
1810,22,Irrigated villages,144
1810,23,Rainfed villages,26502
1810,24,Pastoral villages,368
1810,31,Residential irrigated croplands,1263
1810,32,Residential rainfed croplands,74867
1810,33,Populated croplands,5992
1810,34,Remote croplands,14627
1810,41,Residential rangelands,24776
1810,42,Populated rangelands,102766
1810,43,Remote rangelands,128858
1810,51,Residential woodlands,73734
1810,52,Populated woodlands,182562
1810,53,Remote woodlands,376638
1810,54,Inhabited drylands,560873
1810,61,Wild woodlands,232597
1810,62,Wild drylands,281929
1810,63,Ice (uninhabited),129970
1810,70,No land,0
1820,11,Urban,65
1820,12,Mixed settlements,5780
1820,21,Rice villages,1517
1820,22,Irrigated villages,213
1820,23,Rainfed villages,28056
1820,24,Pastoral villages,441
1820,31,Residential irrigated croplands,1789
1820,32,Residential rainfed croplands,77172
1820,33,Populated croplands,6920
1820,34,Remote croplands,14845
1820,41,Residential rangelands,25681
1820,42,Populated rangelands,105387
1820,43,Remote rangelands,130236
1820,51,Residential woodlands,74365
1820,52,Populated woodlands,183287
1820,53,Remote woodlands,370624
1820,54,Inhabited drylands,554715
1820,61,Wild woodlands,232618
1820,62,Wild drylands,281728
1820,63,Ice (uninhabited),129963
1820,70,No land,0
1830,11,Urban,91
1830,12,Mixed settlements,6561
1830,21,Rice villages,1812
1830,22,Irrigated villages,333
1830,23,Rainfed villages,30354
1830,24,Pastoral villages,665
1830,31,Residential irrigated croplands,2232
1830,32,Residential rainfed croplands,79900
1830,33,Populated croplands,8806
1830,34,Remote croplands,16062
1830,41,Residential rangelands,27865
1830,42,Populated rangelands,112672
1830,43,Remote rangelands,145096
1830,51,Residential woodlands,75254
1830,52,Populated woodlands,183334
1830,53,Remote woodlands,362653
1830,54,Inhabited drylands,533383
1830,61,Wild woodlands,232642
1830,62,Wild drylands,275751
1830,63,Ice (uninhabited),129936
1830,70,No land,0
1840,11,Urban,113
1840,12,Mixed settlements,7008
1840,21,Rice villages,2015
1840,22,Irrigated villages,415
1840,23,Rainfed villages,31874
1840,24,Pastoral villages,804
1840,31,Residential irrigated croplands,2784
1840,32,Residential rainfed croplands,87139
1840,33,Populated croplands,13237
1840,34,Remote croplands,15569
1840,41,Residential rangelands,29876
1840,42,Populated rangelands,119180
1840,43,Remote rangelands,144135
1840,51,Residential woodlands,75923
1840,52,Populated woodlands,183238
1840,53,Remote woodlands,352514
1840,54,Inhabited drylands,521678
1840,61,Wild woodlands,232630
1840,62,Wild drylands,275357
1840,63,Ice (uninhabited),129913
1840,70,No land,0
1850,11,Urban,144
1850,12,Mixed settlements,7505
1850,21,Rice villages,2286
1850,22,Irrigated villages,609
1850,23,Rainfed villages,33525
1850,24,Pastoral villages,885
1850,31,Residential irrigated croplands,3250
1850,32,Residential rainfed croplands,93190
1850,33,Populated croplands,16227
1850,34,Remote croplands,15233
1850,41,Residential rangelands,32363
1850,42,Populated rangelands,120960
1850,43,Remote rangelands,143930
1850,51,Residential woodlands,75323
1850,52,Populated woodlands,181935
1850,53,Remote woodlands,345365
1850,54,Inhabited drylands,515032
1850,61,Wild woodlands,232623
1850,62,Wild drylands,275108
1850,63,Ice (uninhabited),129909
1850,70,No land,0
1860,11,Urban,192
1860,12,Mixed settlements,8054
1860,21,Rice villages,2626
1860,22,Irrigated villages,796
