SGB_ID,Genome_Name,Study,Sample_ID,Country,Westernized,Body_Site,Age_Category
1429,LeChatelierE_2013__MH0434__bin.60,LeChatelierE_2013,MH0434,DNK,Yes,Stool,Adult
1429,LiJ_2014__MH0351__bin.18,LiJ_2014,MH0351,DNK,Yes,Stool,Adult
1429,LiJ_2014__MH0355__bin.69,LiJ_2014,MH0355,DNK,Yes,Stool,Adult
1429,LiJ_2014__V1.FI06__bin.61,LiJ_2014,V1.FI06,ESP,Yes,Stool,Adult
1429,LoombaR_2017__SID5564_meq__bin.28,LoombaR_2017,SID5564_meq,USA,Yes,Stool,Adult
1430,Bengtsson-PalmeJ_2015__TRAVELRES5__bin.91,Bengtsson-PalmeJ_2015,TRAVELRES5,SWE,Yes,Stool,Adult
1430,Bengtsson-PalmeJ_2015__TRAVELRES6__bin.82,Bengtsson-PalmeJ_2015,TRAVELRES6,SWE,Yes,Stool,Adult
1430,LiJ_2014__MH0238__bin.19,LiJ_2014,MH0238,DNK,Yes,Stool,Adult
1430,WenC_2017__RA120__bin.40,WenC_2017,RA120,CHN,Yes,Stool,Adult
1430,XieH_2016__YSZC12003_35741__bin.44,XieH_2016,YSZC12003_35741,GBR,Yes,Stool,Adult
1430,XieH_2016__YSZC12003_37299R1__bin.64,XieH_2016,YSZC12003_37299R1,GBR,Yes,Stool,Adult
1430,ZeeviD_2015__PNP_Validation_7__bin.54,ZeeviD_2015,PNP_Validation_7,ISR,Yes,Stool,Adult
2068,FerrettiP_2018__CA_C10032MS2544FE_t0M15__bin.27,FerrettiP_2018,CA_C10032MS2544FE_t0M15,ITA,Yes,Stool,Adult
2068,LiJ_2014__O2.UC24-1__bin.36,LiJ_2014,O2.UC24-1,ESP,Yes,Stool,Adult
2068,NielsenHB_2014__O2_UC24_2__bin.54,NielsenHB_2014,O2_UC24_2,ESP,Yes,Stool,Adult
2068,XieH_2016__YSZC12003_37265R1__bin.43,XieH_2016,YSZC12003_37265R1,GBR,Yes,Stool,Adult
1433,RaymondF_2016__P1E7__bin.8,RaymondF_2016,P1E7,CAN,Yes,Stool,Adult
1836,BackhedF_2015__SID1_12M__bin.16,BackhedF_2015,SID1_12M,SWE,Yes,Stool,Child
1836,BackhedF_2015__SID1_B__bin.14,BackhedF_2015,SID1_B,SWE,Yes,Stool,Newborn
1836,BackhedF_2015__SID1_M__bin.43,BackhedF_2015,SID1_M,SWE,Yes,Stool,Adult
1836,BackhedF_2015__SID10_12M__bin.26,BackhedF_2015,SID10_12M,SWE,Yes,Stool,Child
1836,BackhedF_2015__SID103_M__bin.22,BackhedF_2015,SID103_M,SWE,Yes,Stool,Adult
1836,BackhedF_2015__SID105_12M__bin.17,BackhedF_2015,SID105_12M,SWE,Yes,Stool,Child
1836,BackhedF_2015__SID105_M__bin.16,BackhedF_2015,SID105_M,SWE,Yes,Stool,Adult
1836,BackhedF_2015__SID128_12M__bin.33,BackhedF_2015,SID128_12M,SWE,Yes,Stool,Child
1836,BackhedF_2015__SID128_4M__bin.7,BackhedF_2015,SID128_4M,SWE,Yes,Stool,Newborn
